    NODE     X-DISP         Y-DISP
   678      0.203E-07     -0.327E-06
   679      0.222E-07     -0.327E-06
   680      0.241E-07     -0.327E-06
   681      0.260E-07     -0.327E-06
   682      0.279E-07     -0.327E-06
   683     -0.290E-07     -0.326E-06
   684     -0.270E-07     -0.326E-06
   685     -0.250E-07     -0.326E-06
   686     -0.230E-07     -0.326E-06
   687     -0.211E-07     -0.326E-06
   688     -0.191E-07     -0.326E-06
   689     -0.172E-07     -0.326E-06
   690     -0.152E-07     -0.326E-06
   691     -0.133E-07     -0.326E-06
   692     -0.114E-07     -0.326E-06
   693     -0.944E-08     -0.326E-06
   694     -0.753E-08     -0.326E-06
   695     -0.562E-08     -0.327E-06
   696     -0.372E-08     -0.327E-06
   697     -0.181E-08     -0.327E-06
   698      0.890E-10     -0.326E-06
   699      0.199E-08     -0.326E-06
   700      0.389E-08     -0.326E-06
   701      0.580E-08     -0.326E-06
   702      0.771E-08     -0.326E-06
   703      0.962E-08     -0.326E-06
   704      0.115E-07     -0.326E-06
   705      0.135E-07     -0.326E-06
   706      0.154E-07     -0.326E-06
   707      0.173E-07     -0.326E-06
   708      0.193E-07     -0.326E-06
   709      0.212E-07     -0.325E-06
   710      0.232E-07     -0.325E-06
   711      0.252E-07     -0.325E-06
   712      0.272E-07     -0.325E-06
   713      0.292E-07     -0.325E-06
   714     -0.303E-07     -0.323E-06
   715     -0.282E-07     -0.324E-06
   716     -0.261E-07     -0.324E-06
   717     -0.240E-07     -0.324E-06
   718     -0.220E-07     -0.324E-06
   719     -0.199E-07     -0.324E-06
   720     -0.179E-07     -0.324E-06
   721     -0.159E-07     -0.324E-06
   722     -0.139E-07     -0.324E-06
   723     -0.119E-07     -0.324E-06
   724     -0.985E-08     -0.324E-06
   725     -0.786E-08     -0.324E-06
   726     -0.587E-08     -0.324E-06
   727     -0.388E-08     -0.324E-06
   728     -0.189E-08     -0.324E-06
   729      0.934E-10     -0.324E-06
   730      0.208E-08     -0.324E-06
   731      0.406E-08     -0.324E-06
   732      0.605E-08     -0.324E-06
   733      0.804E-08     -0.324E-06
   734      0.100E-07     -0.324E-06
   735      0.120E-07     -0.324E-06
   736      0.140E-07     -0.324E-06
   737      0.161E-07     -0.324E-06
   738      0.181E-07     -0.324E-06
   739      0.201E-07     -0.324E-06
   740      0.222E-07     -0.323E-06
   741      0.242E-07     -0.323E-06
   742      0.263E-07     -0.323E-06
   743      0.284E-07     -0.323E-06
   744      0.305E-07     -0.323E-06
   745     -0.316E-07     -0.321E-06
   746     -0.294E-07     -0.321E-06
   747     -0.272E-07     -0.322E-06
   748     -0.250E-07     -0.322E-06
   749     -0.229E-07     -0.322E-06
   750     -0.208E-07     -0.322E-06
